--ann	ã˨
ann	ã˥
ànn	ã˨˩
ânn	ã˧˥
ānn	ã˧
ah	aʔ˩
a̍h	aʔ˥
--ai	ai˨
ai	ai˥
ái	ai˥˧
ài	ai˨˩
âi	ai˧˥
āi	ai˧
--ainn	aĩ˨
ainn	aĩ˥
áinn	aĩ˥˧
àinn	aĩ˨˩
âinn	aĩ˧˥
āinn	aĩ˧
--iau	ɪaʊ˨
iau	ɪaʊ˥
iáu	ɪaʊ˥˧
iàu	ɪaʊ˨˩
iâu	ɪaʊ˧˥
iāu	ɪaʊ˧
--jainn	ʑaĩ˨
jainn	ʑaĩ˥
jáinn	ʑaĩ˥˧
jàinn	ʑaĩ˨˩
jâinn	ʑaĩ˧˥
jāinn	ʑaĩ˧
--jiai	ʑai˨
jiai	ʑai˥
jiái	ʑai˥˧
jiài	ʑai˨˩
jiâi	ʑai˧˥
jiāi	ʑai˧
--jiau	ʑɪaʊ˨
jiau	ʑɪaʊ˥
jiáu	ʑɪaʊ˥˧
jiàu	ʑɪaʊ˨˩
jiâu	ʑɪaʊ˧˥
jiāu	ʑɪaʊ˧
--jiau	ʑɪaʊ˨
jiau	ʑɪaʊ˥
jiáu	ʑɪaʊ˥˧
jiàu	ʑɪaʊ˨˩
jiâu	ʑɪaʊ˧˥
jiāu	ʑɪaʊ˧
ak	ak˩
a̍k	ak˥
--am	am˨
am	am˥
ám	am˥˧
àm	am˨˩
âm	am˧˥
ām	am˧
ap	ap˩
a̍p	ap˥
--siau	ɕɪaʊ˨
siau	ɕɪaʊ˥
siáu	ɕɪaʊ˥˧
siáu	ɕɪaʊ˥˧
siàu	ɕɪaʊ˨˩
siâu	ɕɪaʊ˧˥
siāu	ɕɪaʊ˧
at	at˩
a̍t	at˥
--au	au˨
au	au˥
áu	au˥˧
àu	au˨˩
âu	au˧˥
āu	au˧
--ba	ba˨
ba	ba˥
bá	ba˥˧
bà	ba˨˩
bâ	ba˧˥
bā	ba˧
--bann	bã˨
bann	bã˥
bánn	bã˥˧
bànn	bã˨˩
bânn	bã˧˥
bānn	bã˧
bah	baʔ˩
ba̍h	baʔ˥
--biau	bɪaʊ˨
biau	bɪaʊ˥
biáu	bɪaʊ˥˧
biàu	bɪaʊ˨˩
biâu	bɪaʊ˧˥
biāu	bɪaʊ˧
--bai	bai˨
bai	bai˥
bái	bai˥˧
bài	bai˨˩
